iter	Passed	Remaining
0	150	150122
1	151	75559
2	152	50631
3	153	38154
4	154	30755
5	155	25761
6	156	22180
7	157	19491
8	158	17403
9	158	15721
10	159	14349
11	160	13202
12	161	12241
13	162	11417
14	162	10695
15	163	10063
16	164	9503
17	165	9004
18	165	8562
19	166	8162
20	167	7822
21	168	7497
22	169	7198
23	170	6922
24	170	6668
25	171	6430
26	172	6213
27	173	6015
28	174	5827
29	174	5652
30	175	5487
31	176	5332
32	177	5188
33	177	5054
34	178	4926
35	179	4804
36	180	4689
37	181	4590
38	182	4492
39	183	4398
40	184	4308
41	185	4220
42	186	4151
43	187	4074
44	188	3996
45	189	3920
46	189	3847
47	190	3778
48	191	3712
49	192	3648
50	192	3586
51	193	3527
52	194	3478
53	195	3425
54	196	3373
55	197	3322
56	197	3272
57	198	3224
58	199	3178
59	200	3137
60	201	3098
61	202	3057
62	203	3020
63	204	2985
64	205	2951
65	206	2917
66	206	2881
67	207	2847
68	208	2818
69	209	2787
70	210	2759
71	211	2730
72	212	2702
73	213	2673
74	214	2645
75	215	2618
76	216	2590
77	217	2565
78	217	2539
79	218	2514
80	219	2490
81	220	2467
82	220	2440
83	221	2420
84	222	2398
85	223	2378
86	224	2358
87	225	2336
88	226	2315
89	226	2294
90	227	2273
91	228	2253
92	229	2234
93	229	2214
94	230	2195
95	231	2176
96	231	2158
97	232	2140
98	233	2123
99	234	2106
100	234	2089
101	235	2074
102	236	2060
103	237	2046
104	238	2031
105	239	2016
106	239	2001
107	240	1986
108	241	1972
109	241	1957
110	242	1943
111	243	1930
112	244	1916
113	244	1902
114	245	1889
115	246	1876
116	246	1862
117	247	1850
118	248	1837
119	249	1826
120	249	1815
121	250	1804
122	251	1794
123	252	1785
124	253	1774
125	254	1763
126	254	1751
127	255	1740
128	256	1731
129	257	1720
130	257	1710
131	258	1700
132	259	1690
133	260	1680
134	260	1671
135	261	1661
136	262	1652
137	263	1643
138	263	1634
139	264	1626
140	265	1619
141	266	1609
142	267	1601
143	268	1593
144	268	1585
145	269	1577
146	270	1568
147	271	1560
148	271	1552
149	272	1544
150	273	1536
151	274	1528
152	274	1521
153	275	1513
154	276	1506
155	277	1498
156	277	1492
157	278	1486
158	279	1480
159	280	1473
160	281	1465
161	281	1458
162	282	1451
163	283	1444
164	284	1438
165	284	1431
166	285	1424
167	286	1417
168	287	1411
169	287	1405
170	288	1399
171	289	1393
172	290	1387
173	290	1380
174	291	1375
175	292	1370
176	293	1364
177	294	1359
178	295	1354
179	295	1348
180	296	1342
181	297	1336
182	298	1331
183	298	1325
184	299	1320
185	300	1314
186	301	1309
187	301	1304
188	302	1298
189	303	1293
190	304	1288
191	305	1283
192	305	1278
193	306	1274
194	307	1270
195	308	1265
196	309	1260
197	310	1255
198	310	1251
199	311	1246
200	312	1241
201	312	1236
202	313	1231
203	314	1226
204	315	1222
205	315	1217
206	316	1213
207	317	1208
208	318	1204
209	318	1200
210	319	1195
211	320	1191
212	321	1188
213	322	1184
214	323	1180
215	324	1176
216	324	1172
217	325	1167
218	326	1163
219	327	1159
220	327	1155
221	328	1151
222	329	1147
223	329	1143
224	330	1138
225	331	1135
226	332	1131
227	332	1127
228	333	1123
229	334	1119
230	335	1116
231	336	1113
232	337	1109
233	337	1106
234	338	1102
235	339	1098
236	340	1095
237	340	1091
238	341	1087
239	342	1084
240	343	1080
241	343	1076
242	344	1073
243	345	1070
244	346	1067
245	346	1063
246	347	1060
247	348	1056
248	349	1053
249	350	1051
250	351	1048
251	352	1045
252	353	1042
253	353	1039
254	354	1035
255	355	1032
256	356	1029
257	356	1026
258	357	1022
259	358	1021
260	359	1019
261	361	1016
262	362	1014
263	362	1011
264	364	1010
265	365	1007
266	366	1004
267	367	1002
268	367	999
269	368	997
270	369	994
271	370	991
272	371	989
273	372	986
274	373	984
275	374	981
276	375	979
277	375	976
278	376	973
279	377	971
280	378	969
281	379	966
282	380	964
283	381	961
284	382	958
285	382	955
286	383	953
287	384	951
288	385	948
289	386	945
290	387	943
291	387	940
292	388	937
293	389	934
294	389	932
295	390	929
296	391	927
297	392	925
298	393	922
299	394	919
300	394	917
301	395	914
302	396	911
303	397	909
304	398	906
305	398	904
306	399	901
307	400	899
308	400	896
309	401	893
310	402	891
311	403	888
312	403	886
313	404	883
314	405	881
315	406	879
316	407	877
317	408	875
318	408	872
319	409	870
320	410	868
321	411	865
322	411	863
323	412	860
324	413	858
325	414	856
326	414	853
327	415	851
328	416	848
329	416	846
330	417	844
331	418	841
332	419	839
333	420	838
334	421	836
335	422	834
336	422	832
337	423	829
338	424	827
339	425	825
340	425	823
341	426	820
342	427	818
343	428	816
344	428	814
345	429	811
346	430	809
347	431	807
348	431	805
349	432	803
350	433	801
351	434	799
352	435	797
353	436	796
354	437	794
355	437	792
356	438	789
357	439	787
358	440	785
359	441	784
360	441	782
361	442	780
362	443	777
363	444	775
364	444	773
365	445	771
366	446	769
367	447	767
368	448	766
369	449	764
370	450	762
371	450	761
372	451	759
373	452	757
374	453	755
375	453	753
376	454	751
377	455	749
378	455	747
379	456	745
380	457	743
381	458	741
382	458	739
383	459	737
384	460	735
385	461	733
386	462	732
387	463	730
388	463	728
389	464	726
390	465	725
391	466	723
392	467	721
393	467	719
394	468	717
395	469	715
396	469	713
397	470	711
398	471	710
399	472	708
400	472	706
401	473	704
402	474	702
403	475	700
404	476	699
405	477	698
406	478	697
407	479	695
408	480	694
409	481	692
410	482	691
411	483	689
412	484	688
413	485	686
414	485	684
415	486	683
416	487	681
417	488	680
418	489	678
419	490	677
420	491	676
421	492	674
422	493	673
423	494	671
424	495	670
425	496	668
426	497	667
427	498	665
428	499	664
429	499	662
430	500	661
431	501	659
432	502	658
433	503	656
434	504	655
435	505	654
436	506	652
437	507	651
438	508	649
439	509	647
440	509	646
441	510	644
442	511	642
443	512	641
444	512	639
445	513	637
446	514	636
447	515	634
448	515	632
449	516	631
450	517	629
451	518	628
452	519	626
453	520	625
454	520	624
455	521	622
456	522	620
457	523	619
458	524	617
459	524	616
460	525	614
461	526	612
462	527	611
463	527	609
464	529	608
465	530	607
466	531	606
467	532	604
468	533	603
469	534	602
470	534	600
471	535	599
472	536	597
473	537	596
474	538	594
475	538	593
476	539	591
477	540	589
478	540	588
479	541	587
480	542	585
481	543	584
482	545	583
483	547	583
484	548	582
485	549	581
486	550	580
487	551	578
488	552	577
489	553	576
490	554	574
491	555	573
492	555	571
493	556	570
494	557	568
495	558	567
496	558	565
497	559	564
498	560	562
499	561	561
500	562	560
501	563	559
502	564	557
503	565	556
504	566	555
505	567	554
506	568	552
507	569	551
508	570	549
509	570	548
510	571	546
511	572	545
512	573	544
513	574	542
514	575	541
515	576	540
516	576	538
517	577	537
518	578	536
519	579	534
520	580	533
521	580	531
522	581	530
523	582	529
524	583	527
525	583	526
526	584	524
527	585	523
528	586	521
529	586	520
530	587	518
531	588	517
532	589	516
533	590	515
534	591	513
535	592	512
536	592	511
537	593	509
538	594	508
539	595	507
540	595	505
541	596	504
542	597	502
543	598	501
544	598	499
545	599	498
546	600	497
547	601	495
548	601	494
549	602	493
550	603	492
551	604	490
552	605	489
553	606	488
554	607	486
555	608	485
556	608	484
557	609	482
558	610	481
559	610	480
560	611	478
561	612	477
562	613	475
563	613	474
564	614	473
565	615	471
566	616	470
567	617	469
568	618	468
569	619	467
570	620	466
571	621	464
572	621	463
573	622	462
574	623	460
575	624	459
576	625	458
577	626	457
578	627	456
579	627	454
580	628	453
581	629	452
582	630	451
583	631	449
584	632	448
585	633	447
586	633	446
587	634	444
588	635	443
589	636	442
590	637	440
591	637	439
592	638	438
593	639	436
594	640	435
595	640	434
596	641	433
597	642	431
598	642	430
599	643	429
600	644	428
601	645	426
602	646	425
603	647	424
604	647	423
605	648	421
606	649	420
607	650	419
608	650	417
609	651	416
610	652	415
611	653	414
612	653	412
613	654	411
614	655	410
615	655	408
616	656	407
617	657	406
618	658	405
619	659	404
620	660	403
621	661	401
622	662	400
623	663	399
624	663	398
625	664	396
626	665	395
627	666	394
628	666	393
629	667	392
630	668	390
631	668	389
632	669	388
633	670	387
634	671	385
635	672	384
636	672	383
637	673	382
638	674	381
639	675	380
640	676	378
641	677	377
642	677	376
643	678	375
644	679	373
645	679	372
646	680	371
647	681	370
648	682	368
649	682	367
650	683	366
651	684	365
652	685	364
653	686	362
654	687	361
655	687	360
656	688	359
657	689	358
658	690	357
659	690	355
660	691	354
661	692	353
662	693	352
663	693	351
664	694	349
665	695	348
666	695	347
667	696	346
668	697	345
669	698	343
670	698	342
671	699	341
672	701	340
673	702	339
674	703	338
675	704	337
676	705	336
677	706	335
678	706	334
679	707	333
680	708	331
681	709	330
682	709	329
683	710	328
684	711	327
685	711	325
686	712	324
687	713	323
688	714	322
689	716	321
690	717	320
691	721	320
692	722	319
693	723	318
694	724	317
695	725	316
696	726	315
697	727	314
698	728	313
699	729	312
700	730	311
701	731	310
702	732	309
703	733	308
704	734	307
705	734	305
706	735	304
707	736	303
708	736	302
709	737	301
710	738	300
711	739	299
712	739	297
713	740	296
714	741	295
715	742	294
716	743	293
717	744	292
718	744	291
719	745	289
720	746	288
721	747	287
722	747	286
723	748	285
724	749	284
725	749	283
726	750	281
727	751	280
728	752	279
729	753	278
730	753	277
731	754	276
732	755	275
733	755	273
734	756	272
735	757	271
736	758	270
737	759	269
738	760	268
739	760	267
740	761	266
741	762	265
742	762	263
743	763	262
744	764	261
745	765	260
746	766	259
747	766	258
748	767	257
749	768	256
750	769	254
751	769	253
752	770	252
753	771	251
754	772	250
755	773	249
756	774	248
757	774	247
758	775	246
759	776	245
760	777	244
761	777	242
762	778	241
763	779	240
764	779	239
765	780	238
766	781	237
767	782	236
768	782	235
769	783	234
770	784	232
771	785	231
772	786	230
773	786	229
774	787	228
775	788	227
776	789	226
777	789	225
778	790	224
779	791	223
780	792	222
781	792	221
782	793	219
783	794	218
784	795	217
785	795	216
786	796	215
787	797	214
788	797	213
789	798	212
790	799	211
791	801	210
792	801	209
793	802	208
794	803	207
795	804	206
796	805	205
797	806	204
798	806	203
799	807	201
800	808	200
801	809	199
802	810	198
803	810	197
804	811	196
805	812	195
806	813	194
807	814	193
808	815	192
809	816	191
810	817	190
811	818	189
812	819	188
813	819	187
814	820	186
815	821	185
816	822	184
817	822	183
818	823	182
819	824	180
820	825	179
821	826	178
822	827	177
823	828	176
824	829	175
825	830	174
826	831	173
827	832	172
828	833	171
829	834	170
830	835	169
831	836	168
832	837	167
833	837	166
834	838	165
835	839	164
836	840	163
837	841	162
838	842	161
839	844	160
840	845	159
841	846	158
842	847	157
843	848	156
844	849	155
845	849	154
846	850	153
847	851	152
848	852	151
849	853	150
850	854	149
851	855	148
852	856	147
853	857	146
854	858	145
855	859	144
856	860	143
857	861	142
858	861	141
859	862	140
860	863	139
861	864	138
862	865	137
863	866	136
864	866	135
865	867	134
866	868	133
867	869	132
868	870	131
869	871	130
870	872	129
871	873	128
872	874	127
873	875	126
874	875	125
875	876	124
876	877	123
877	878	122
878	879	121
879	880	120
880	880	118
881	881	117
882	883	117
883	884	116
884	885	115
885	886	114
886	887	113
887	888	112
888	889	111
889	890	110
890	891	109
891	892	108
892	893	107
893	894	106
894	896	105
895	897	104
896	898	103
897	900	102
898	901	101
899	902	100
900	903	99
901	904	98
902	905	97
903	906	96
904	906	95
905	907	94
906	908	93
907	909	92
908	910	91
909	911	90
910	912	89
911	913	88
912	914	87
913	914	86
914	915	85
915	916	84
916	917	83
917	917	81
918	918	80
919	919	79
920	920	78
921	920	77
922	921	76
923	922	75
924	922	74
925	923	73
926	924	72
927	925	71
928	926	70
929	927	69
930	928	68
931	929	67
932	930	66
933	930	65
934	931	64
935	932	63
936	933	62
937	933	61
938	934	60
939	935	59
940	936	58
941	937	57
942	938	56
943	939	55
944	940	54
945	941	53
946	942	52
947	943	51
948	944	50
949	944	49
950	945	48
