iter	Passed	Remaining
0	1	105
1	2	99
2	2	91
3	3	91
4	4	93
5	5	92
6	6	90
7	7	90
8	9	91
9	10	90
10	11	90
11	12	89
12	13	90
13	14	90
14	15	90
15	17	89
16	18	89
17	19	88
18	20	88
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	31	73
30	32	71
31	33	70
32	33	68
33	34	67
34	35	66
35	36	64
36	37	63
37	37	61
38	38	60
39	39	58
40	39	57
41	40	55
42	40	54
43	41	53
44	42	51
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	46	45
51	47	44
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	29
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
